"RefSeq.Locus.Tag"	"Mccann 2011"	"CF fraction of Souza 2011"	"membrane of Souza 2011"	"Malen 2011"	"Malen 2010 TritonX"	"Malen 2007"	"Braunstein 2000"	"Chitale 2001"	"Wolfe 2010"	"Gu 2003"	"Sulzenbacher 2006"	"Mawuenyega 2005 Membrane"	"Mawuenyega 2005 Cell Wall"	"Rosenkrands 2000"	"Gomez 2000"	"McDonough 2008"	"Xiong 2005"	"Count of num of times identified as exported"	"Signal P predicts sp"	"TatP predicts Tat sp"	"TMHMM predicts transmembrane domain"	"num of times predicted to have an export signal"	"Macaque Deadman Dutta 2010"	"Macrophage TRASH Jyothi 2005"	"Macrophage TRASH BCG Cole 2005"	"Macrophage enriched in acidified phagosomes TRASH BCG Cole 2005"	"Mouse TRASH Sassetti"	"Mouse Deadman Lamichhane 2005"	"Cholesterol in vitro TRASH Griffin 2011"	"in vitro essential Sassetti 2003"	"in vitro essential Griffin 2011"	"BALB div c in vivo expressed Talaat 2004"	"SCID in vivo expressed Talaat 2004"	"only 7H9 expressed Talaat 2004"	"in vivo only expressed Talaat 2004"	"Sasky serine hydrolase"	"Identified in Bell 2012 (high density mspec-any fractions)"
"Rv3018A"																		0				0								"no-data"	"no-data"						
"Rv3018c"																		0			"Y"	1								"essential"	"non-essential"						
"Rv3019c"																		0				0								"non-essential"	"non-essential"						
"Rv3020c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3021c"																		0			"Y"	1								"no-data"	"essential"						
"Rv3022A"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv3022c"																		0				0								"no-data"	"non-essential"						
"Rv3023c"																		0				0								"no-data"	"non-essential"						
"Rv3024c"																		0				0								"no-data"	"essential"						
"Rv3025c"			"Y"															1				0								"essential"	"essential"						
"Rv3026c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3027c"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv3028c"		"Y"	"Y"						"Y"					"Y"				4				0								"no-data"	"essential"						"Y"
"Rv3029c"			"Y"						"Y"	"Y"				"Y"				4				0								"essential"	"essential"						"Y"
"Rv3030"																		0				0								"essential"	"essential"						
"Rv3031"						"Y"												1				0								"essential"	"essential"						
"Rv3032"																		0				0								"essential"	"essential"						
"Rv3033"		"Y"	"Y"			"Y"												3	"Y"			1		"Y"						"no-data"	"non-essential"						"Y"
"Rv3034c"			"Y"															1	"Y"			1								"non-essential"	"essential"						"Y"
"Rv3035"			"Y"															1				0								"non-essential"	"essential"						
"Rv3036c"	"Y"	"Y"				"Y"								"Y"				4	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv3037c"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv3038c"									"Y"									1				0								"no-data"	"essential"						
"Rv3039c"			"Y"									"Y"						2				0								"no-data"	"essential"						
"Rv3040c"										"Y"								1				0								"non-essential"	"non-essential"						"Y"
"Rv3041c"																		0				0								"non-essential"	"non-essential"						
"Rv3042c"																		0				0					"Y"			"essential"	"essential"						"Y"
"Rv3043c"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						"Y"
"Rv3044"		"Y"				"Y"												2	"Y"			1								"non-essential"	"essential"						"Y"
"Rv3045"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv3046c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv3047c"																		0				0								"non-essential"	"non-essential"						
"Rv3048c"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv3049c"																		0				0								"non-essential"	"non-essential"						
"Rv3050c"													"Y"					1			"Y"	1		"Y"			"Y"		"Y"	"non-essential"	"non-essential"						"Y"
"Rv3051c"																		0				0								"essential"	"essential"						"Y"
"Rv3052c"																		0				0								"non-essential"	"essential"						
"Rv3053c"																		0				0								"no-data"	"essential"						
"Rv3054c"																		0				0								"non-essential"	"non-essential"						
"Rv3055"																		0				0								"non-essential"	"non-essential"						
"Rv3056"																		0				0								"non-essential"	"non-essential"						
"Rv3057c"																		0				0			"Y"	"Y"				"non-essential"	"non-essential"						"Y"
"Rv3058c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3059"																		0				0								"non-essential"	"non-essential"						
"Rv3060c"																		0				0								"non-essential"	"non-essential"						
"Rv3061c"		"Y"																1				0					"Y"			"non-essential"	"non-essential"						"Y"
"Rv3062"																		0				0								"no-data"	"non-essential"						
"Rv3063"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3064c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3065"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3066"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3067"		"Y"																1				0								"non-essential"	"non-essential"						
"Rv3068c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3069"			"Y"	"Y"														2		"Y"	"Y"	2								"non-essential"	"non-essential"						
"Rv3070"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3071"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv3072c"																		0				0								"non-essential"	"non-essential"						
"Rv3073c"																		0				0								"non-essential"	"non-essential"						
"Rv3074"																		0				0								"non-essential"	"non-essential"						
"Rv3075c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv3076"																		0				0								"non-essential"	"non-essential"						
"Rv3077"																		0				0								"non-essential"	"non-essential"						
"Rv3078"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3079c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3080c"																		0				0								"no-data"	"non-essential"						
"Rv3081"																		0				0								"non-essential"	"non-essential"						
"Rv3082c"																		0				0								"non-essential"	"non-essential"						
"Rv3083"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv3084"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv3085"																		0				0								"non-essential"	"non-essential"						
"Rv3086"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv3087"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv3088"																		0				0								"non-essential"	"non-essential"						
"Rv3089"		"Y"							"Y"									2				0								"non-essential"	"non-essential"						
"Rv3090"	"Y"		"Y"	"Y"														3			"Y"	1								"no-data"	"non-essential"						"Y"
"Rv3091"			"Y"							"Y"								2				0								"non-essential"	"non-essential"						"Y"
"Rv3092c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3093c"																		0				0								"non-essential"	"non-essential"						
"Rv3094c"																		0				0	"Y"							"non-essential"	"non-essential"						"Y"
"Rv3095"																		0				0								"non-essential"	"non-essential"						
"Rv3096"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv3097c"																		0	"Y"			1								"non-essential"	"non-essential"					"Y"	
"Rv3098c"																		0				0								"non-essential"	"non-essential"						
"Rv3099c"			"Y"						"Y"									2				0								"no-data"	"non-essential"						"Y"
"Rv3100c"																		0				0								"no-data"	"non-essential"						
"Rv3101c"			"Y"	"Y"			"Y"						"Y"					4			"Y"	1								"essential"	"essential"						
"Rv3102c"			"Y"															1				0								"growth-defect"	"essential"						"Y"
"Rv3103c"	"Y"																	1			"Y"	1					"Y"			"non-essential"	"non-essential"						
"Rv3104c"			"Y"	"Y"														2			"Y"	1			"Y"					"non-essential"	"non-essential"						
"Rv3105c"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv3106"						"Y"			"Y"									2	"Y"			1								"non-essential"	"non-essential"						
"Rv3107c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv3108"																		0		"Y"		1								"no-data"	"non-essential"						
"Rv3109"																		0				0								"essential"	"essential"						
"Rv3110"																		0				0								"non-essential"	"non-essential"						
"Rv3111"						"Y"												1				0	"Y"							"essential"	"essential"						
"Rv3112"																		0				0								"essential"	"essential"						
"Rv3113"																		0				0								"essential"	"non-essential"						
"Rv3114"																		0				0					"Y"			"no-data"	"non-essential"						
"Rv3115"																		0				0								"no-data"	"non-essential"						
"Rv3116"																		0				0								"non-essential"	"non-essential"						
"Rv3117"									"Y"									1				0	"Y"							"non-essential"	"non-essential"						"Y"
"Rv3118"									"Y"									1				0		"Y"						"no-data"	"non-essential"						"Y"
"Rv3119"																		0				0								"no-data"	"non-essential"						
"Rv3120"																		0				0								"no-data"	"non-essential"						
"Rv3121"																		0				0								"no-data"	"essential"						
"Rv3122"																		0				0								"non-essential"	"non-essential"						
"Rv3123"																		0				0								"non-essential"	"non-essential"						
"Rv3124"																		0				0								"no-data"	"essential"						
"Rv3125c"																		0				0								"non-essential"	"non-essential"						
"Rv3126c"																		0				0								"non-essential"	"non-essential"						
"Rv3127"									"Y"									1				0								"no-data"	"essential"						"Y"
"Rv3128c"																		0				0								"no-data"	"no-data"						
"Rv3129"																		0				0								"no-data"	"non-essential"						
"Rv3130c"												"Y"	"Y"					2				0								"no-data"	"non-essential"						"Y"
"Rv3131"																		0				0								"essential"	"non-essential"						"Y"
"Rv3132c"									"Y"									1				0		"Y"						"essential"	"non-essential"						"Y"
"Rv3133c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv3134c"									"Y"	"Y"								2				0								"non-essential"	"non-essential"						"Y"
"Rv3135"																		0				0								"essential"	"non-essential"						
"Rv3136"			"Y"						"Y"									2				0								"no-data"	"non-essential"						
"Rv3137"																		0				0								"essential"	"essential"						
"Rv3138"																		0				0								"non-essential"	"non-essential"						
"Rv3139"			"Y"						"Y"									2				0								"essential"	"non-essential"						"Y"
"Rv3140"			"Y"						"Y"									2				0								"essential"	"non-essential"						"Y"
"Rv3141"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3142c"																		0				0								"non-essential"	"non-essential"						
"Rv3143"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv3144c"																		0				0								"no-data"	"non-essential"						
"Rv3145"			"Y"	"Y"														2	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv3146"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3147"			"Y"															1				0								"no-data"	"non-essential"						
"Rv3148"			"Y"															1				0								"no-data"	"essential"						
"Rv3149"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3150"		"Y"	"Y"															2				0								"non-essential"	"essential"						
"Rv3151"		"Y"	"Y"						"Y"									3				0								"no-data"	"non-essential"						
"Rv3152"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3153"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv3154"																		0			"Y"	1				"Y"				"non-essential"	"non-essential"						
"Rv3155"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3156"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3157"			"Y"	"Y"														2	"Y"		"Y"	2								"non-essential"	"essential"						"Y"
"Rv3158"			"Y"	"Y"		"Y"												3			"Y"	1								"non-essential"	"non-essential"						
"Rv3159c"																		0	"Y"			1	"Y"							"no-data"	"non-essential"						
"Rv3160c"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv3161c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv3162c"																		0	"Y"		"Y"	2								"no-data"	"non-essential"						
"Rv3163c"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv3164c"																		0				0								"non-essential"	"non-essential"						
"Rv3165c"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv3166c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3167c"																		0				0								"non-essential"	"non-essential"						
"Rv3168"			"Y"															1				0					"Y"			"no-data"	"non-essential"						
"Rv3169"		"Y"	"Y"							"Y"								3				0								"non-essential"	"non-essential"						"Y"
"Rv3170"			"Y"															1				0			"Y"					"no-data"	"essential"						
"Rv3171c"												"Y"						1				0								"non-essential"	"non-essential"					"Y"	
"Rv3172c"																		0				0								"non-essential"	"non-essential"						
"Rv3173c"																		0				0								"non-essential"	"non-essential"						
"Rv3174"																		0				0								"non-essential"	"non-essential"						
"Rv3175"																		0				0								"non-essential"	"non-essential"						
"Rv3176c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv3177"																		0				0								"essential"	"non-essential"					"Y"	
"Rv3178"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv3179"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3180c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3181c"																		0				0								"non-essential"	"non-essential"						
"Rv3182"																		0				0								"no-data"	"non-essential"						
"Rv3183"																		0				0								"non-essential"	"non-essential"						
"Rv3184"																		0				0								"n/a"	"non-essential"						"Y"
"Rv3185"																		0				0								"n/a"	"non-essential"						
"Rv3186"																		0				0								"n/a"	"non-essential"						"Y"
"Rv3187"																		0				0								"n/a"	"non-essential"						
"Rv3188"																		0				0								"non-essential"	"non-essential"						
"Rv3189"																		0				0								"non-essential"	"non-essential"						
"Rv3190c"																		0				0								"non-essential"	"non-essential"						
"Rv3191c"																		0				0								"non-essential"	"non-essential"						
"Rv3192"																		0				0								"non-essential"	"non-essential"						
"Rv3193c"			"Y"	"Y"		"Y"			"Y"									4			"Y"	1								"no-data"	"essential"						"Y"
"Rv3194c"			"Y"	"Y"		"Y"												3	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv3195"																		0				0								"non-essential"	"non-essential"						
"Rv3196"																		0				0								"non-essential"	"non-essential"						
"Rv3196A"			"Y"															1				0								"no-data"	"non-essential"						"Y"
"Rv3197"																		0				0	"Y"							"non-essential"	"non-essential"						"Y"
"Rv3197A"																		0				0								"no-data"	"non-essential"						
"Rv3198A"																		0				0								"no-data"	"non-essential"						
"Rv3198c"																		0				0								"essential"	"essential"						
"Rv3199c"																		0				0								"non-essential"	"non-essential"						
"Rv3200c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv3201c"						"Y"												1				0								"essential"	"non-essential"						
"Rv3202c"												"Y"						1				0								"non-essential"	"non-essential"						
"Rv3203"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv3204"																		0				0								"no-data"	"non-essential"						
"Rv3205c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv3206c"									"Y"									1			"Y"	1								"non-essential"	"essential"						"Y"
"Rv3207c"		"Y"																1	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv3208"																		0				0								"no-data"	"essential"						"Y"
"Rv3208A"		"Y"																1				0								"no-data"	"non-essential"						"Y"
"Rv3209"	"Y"																	1	"Y"			1								"non-essential"	"non-essential"						
"Rv3210c"		"Y"	"Y"															2				0					"Y"	"Y"		"non-essential"	"essential"						"Y"
"Rv3211"									"Y"									1				0								"no-data"	"essential"						"Y"
"Rv3212"		"Y"	"Y"	"Y"														3	"Y"		"Y"	2		"Y"						"non-essential"	"essential"						
"Rv3213c"																		0				0								"non-essential"	"non-essential"						
"Rv3214"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv3215"																		0				0								"no-data"	"essential"						
"Rv3216"																		0				0								"non-essential"	"non-essential"						
"Rv3217c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3218"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3219"																		0				0								"non-essential"	"non-essential"						
"Rv3220c"																		0				0								"no-data"	"non-essential"						
"Rv3221A"																		0				0								"no-data"	"non-essential"						
"Rv3221c"														"Y"				1				0								"non-essential"	"non-essential"						"Y"
"Rv3222c"																		0				0								"no-data"	"essential"						
"Rv3223c"			"Y"						"Y"									2				0		"Y"						"non-essential"	"non-essential"						
"Rv3224"		"Y"	"Y"						"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv3224A"																		0				0								"no-data"	"non-essential"						
"Rv3224B"																		0				0								"no-data"	"non-essential"						
"Rv3225c"																		0				0								"non-essential"	"non-essential"						
"Rv3226c"																		0				0								"non-essential"	"non-essential"						
"Rv3227"		"Y"	"Y"															2				0								"no-data"	"essential"						
"Rv3228"																		0				0								"no-data"	"non-essential"						
"Rv3229c"										"Y"								1				0					"Y"			"non-essential"	"essential"						
"Rv3230c"																		0				0				"Y"				"non-essential"	"essential"						"Y"
"Rv3231c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3232c"																		0				0								"non-essential"	"non-essential"						
"Rv3233c"																		0				0								"non-essential"	"non-essential"						
"Rv3234c"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv3235"																		0				0								"non-essential"	"non-essential"						
"Rv3236c"			"Y"	"Y"														2			"Y"	1				"Y"	"Y"			"non-essential"	"non-essential"						
"Rv3237c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv3238c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3239c"																		0		"Y"	"Y"	2								"non-essential"	"non-essential"						
"Rv3240c"			"Y"			"Y"			"Y"									3				0								"essential"	"essential"						"Y"
"Rv3241c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3242c"																		0				0								"non-essential"	"non-essential"						
"Rv3243c"			"Y"						"Y"									2				0								"essential"	"non-essential"						
"Rv3244c"		"Y"	"Y"			"Y"			"Y"									4	"Y"			1								"essential"	"essential"						"Y"
"Rv3245c"																		0			"Y"	1								"essential"	"essential"						
"Rv3246c"		"Y"																1				0		"Y"			"Y"			"no-data"	"essential"						"Y"
"Rv3247c"																		0				0								"no-data"	"essential"						
"Rv3248c"		"Y"	"Y"			"Y"			"Y"									4				0								"essential"	"essential"						"Y"
"Rv3249c"																		0				0								"non-essential"	"essential"						
"Rv3250c"																		0				0								"non-essential"	"non-essential"						
"Rv3251c"																		0				0								"non-essential"	"non-essential"						
"Rv3252c"				"Y"														1			"Y"	1								"non-essential"	"non-essential"						
"Rv3253c"	"Y"																	1			"Y"	1								"non-essential"	"non-essential"						
"Rv3254"																		0				0								"non-essential"	"non-essential"						
"Rv3255c"		"Y"	"Y"															2				0								"essential"	"essential"						
"Rv3256c"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv3257c"																		0				0								"essential"	"essential"						
"Rv3258c"																		0				0					"Y"			"growth-defect"	"non-essential"						
"Rv3259"																		0				0								"no-data"	"non-essential"						
"Rv3260c"																		0				0								"no-data"	"non-essential"						
"Rv3261"																		0				0								"non-essential"	"non-essential"						
"Rv3262"																		0				0								"no-data"	"non-essential"						
"Rv3263"																		0				0								"non-essential"	"non-essential"						
"Rv3264c"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv3265c"																		0				0								"essential"	"essential"						
"Rv3266c"																		0				0								"no-data"	"essential"						
"Rv3267"	"Y"	"Y"				"Y"	"Y"											4	"Y"		"Y"	2								"essential"	"essential"						"Y"
"Rv3268"																		0				0								"non-essential"	"non-essential"						
"Rv3269"			"Y"						"Y"	"Y"								3				0		"Y"						"non-essential"	"non-essential"						"Y"
"Rv3270"			"Y"			"Y"						"Y"						3				0					"Y"			"no-data"	"non-essential"						"Y"
"Rv3271c"																		0			"Y"	1								"essential"	"non-essential"						
"Rv3272"																		0				0								"non-essential"	"non-essential"						
"Rv3273"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv3274c"		"Y"	"Y"						"Y"	"Y"								4				0							"Y"	"no-data"	"non-essential"						"Y"
"Rv3275c"			"Y"															1				0								"essential"	"non-essential"						
"Rv3276c"		"Y"	"Y"									"Y"						3				0								"no-data"	"essential"						
"Rv3277"			"Y"	"Y"														2			"Y"	1					"Y"			"no-data"	"essential"						
"Rv3278c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3279c"																		0				0								"non-essential"	"essential"						
"Rv3280"		"Y"	"Y"						"Y"	"Y"								4				0								"no-data"	"essential"						"Y"
"Rv3281"			"Y"						"Y"									2				0								"essential"	"non-essential"						
"Rv3282"		"Y"							"Y"									2				0								"growth-defect"	"non-essential"						"Y"
"Rv3283"			"Y"															1				0		"Y"				"Y"		"growth-defect"	"non-essential"						"Y"
"Rv3284"																		0				0		"Y"						"growth-defect"	"non-essential"						
"Rv3285"		"Y"							"Y"									2				0								"essential"	"essential"						"Y"
"Rv3286c"																		0				0								"non-essential"	"non-essential"						
"Rv3287c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3288c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3289c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3290c"																		0				0								"non-essential"	"non-essential"						
"Rv3291c"																		0				0								"non-essential"	"non-essential"						
"Rv3292"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3293"																		0				0								"non-essential"	"non-essential"						
"Rv3294c"																		0				0			"Y"					"no-data"	"non-essential"						
"Rv3295"			"Y"							"Y"								2				0								"non-essential"	"non-essential"						"Y"
"Rv3296"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv3297"																		0				0	"Y"							"non-essential"	"non-essential"						
"Rv3298c"			"Y"															1	"Y"			1								"non-essential"	"non-essential"					"Y"	
"Rv3299c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3300c"																		0				0								"no-data"	"non-essential"						
"Rv3301c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3302c"			"Y"															1				0								"no-data"	"essential"						"Y"
"Rv3303c"		"Y"																1				0								"non-essential"	"essential"						"Y"
"Rv3304"		"Y"																1				0								"non-essential"	"non-essential"						
"Rv3305c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3306c"			"Y"															1				0								"no-data"	"non-essential"						
"Rv3307"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3308"																		0				0								"non-essential"	"non-essential"						
"Rv3309c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3310"		"Y"	"Y"	"Y"		"Y"												4	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv3311"			"Y"															1				0		"Y"						"non-essential"	"non-essential"						"Y"
"Rv3312A"																		0	"Y"		"Y"	2								"no-data"	"non-essential"						"Y"
"Rv3312c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv3313c"			"Y"															1				0								"no-data"	"non-essential"						
"Rv3314c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3315c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3316"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3317"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv3318"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv3319"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3320c"																		0				0								"non-essential"	"non-essential"						
"Rv3321c"																		0				0								"non-essential"	"non-essential"						
"Rv3322c"																		0				0								"non-essential"	"non-essential"						
"Rv3323c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3324A"																		0				0								"no-data"	"no-data"						
"Rv3324c"																		0				0								"non-essential"	"non-essential"						
"Rv3325"																		0				0								"n/a"	"non-essential"						"Y"
"Rv3326"																		0				0								"n/a"	"non-essential"						
"Rv3327"																		0				0	"Y"		"Y"					"non-essential"	"non-essential"						
"Rv3328c"																		0				0								"non-essential"	"non-essential"						
"Rv3329"																		0				0								"non-essential"	"non-essential"						
"Rv3330"		"Y"		"Y"														2	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv3331"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3332"			"Y"															1				0								"essential"	"non-essential"						
"Rv3333c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv3334"																		0				0								"non-essential"	"non-essential"						
"Rv3335c"			"Y"	"Y"														2			"Y"	1					"Y"			"non-essential"	"non-essential"						
"Rv3336c"		"Y"	"Y"															2				0								"essential"	"essential"						
"Rv3337"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv3338"																		0				0								"non-essential"	"non-essential"						
"Rv3339c"		"Y"	"Y"							"Y"								3				0								"non-essential"	"non-essential"						"Y"
"Rv3340"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3341"																		0				0								"essential"	"essential"					"Y"	
"Rv3342"																		0				0								"non-essential"	"non-essential"						
"Rv3343c"																		0				0								"essential"	"essential"						
"Rv3344c"																		0				0								"no-data"	"non-essential"						
"Rv3345c"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv3346c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3347c"																		0				0								"no-data"	"non-essential"						
"Rv3348"																		0				0								"no-data"	"non-essential"						
"Rv3349c"																		0				0								"non-essential"	"non-essential"						
"Rv3350c"																		0				0								"no-data"	"essential"						
"Rv3351c"																		0				0								"non-essential"	"non-essential"						
"Rv3352c"																		0				0								"non-essential"	"non-essential"						
"Rv3353c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv3354"						"Y"												1	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv3355c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3356c"		"Y"	"Y"			"Y"												3				0								"essential"	"essential"						"Y"
"Rv3357"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv3358"																		0				0								"non-essential"	"non-essential"						
"Rv3359"																		0				0								"non-essential"	"non-essential"						
"Rv3360"																		0				0								"non-essential"	"non-essential"						
"Rv3361c"			"Y"															1				0								"no-data"	"non-essential"						
"Rv3362c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3363c"																		0				0								"non-essential"	"non-essential"						
"Rv3364c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3365c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv3366"																		0				0								"non-essential"	"non-essential"						
"Rv3367"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv3368c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3369"		"Y"	"Y"			"Y"												3				0		"Y"						"no-data"	"non-essential"						"Y"
"Rv3370c"																		0				0								"non-essential"	"non-essential"						
"Rv3371"									"Y"									1				0					"Y"			"non-essential"	"non-essential"						
"Rv3372"		"Y"																1				0								"essential"	"essential"						
"Rv3373"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv3374"																		0				0								"no-data"	"non-essential"						
"Rv3375"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv3376"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv3377c"																		0				0								"non-essential"	"essential"						
"Rv3378c"																		0				0								"no-data"	"essential"						
"Rv3379c"																		0				0								"non-essential"	"non-essential"						
"Rv3380c"																		0				0								"no-data"	"non-essential"						
"Rv3381c"																		0				0								"no-data"	"non-essential"						"Y"
"Rv3382c"																		0				0								"non-essential"	"non-essential"						
"Rv3383c"																		0				0								"non-essential"	"non-essential"						
"Rv3384c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3385c"																		0				0								"non-essential"	"non-essential"						
"Rv3386"																		0				0								"non-essential"	"non-essential"						
"Rv3387"																		0				0								"non-essential"	"non-essential"						
"Rv3388"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv3389c"		"Y"	"Y"						"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv3390"	"Y"		"Y"	"Y"														3	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv3391"																		0				0								"non-essential"	"non-essential"						
"Rv3392c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv3393"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv3394c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv3395A"		"Y"																1	"Y"		"Y"	2								"no-data"	"non-essential"						
"Rv3395c"																		0				0								"non-essential"	"non-essential"						
"Rv3396c"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv3397c"						"Y"												1				0								"no-data"	"non-essential"						
"Rv3398c"																		0				0								"essential"	"non-essential"						
"Rv3399"																		0				0								"non-essential"	"non-essential"						
